,Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,User_Score,Sales_normalised_by_year,Critic_normalised_by_year,User_normalised_by_year,Score
61,Just Dance 3,Wii,2011,Misc,Ubisoft,5.95,3.11,0.0,1.06,10.12,74.0,78.0,0.686820652173913,70.67,86.84,52.73227355072464
62,New Super Mario Bros. 2,3DS,2012,Platform,Nintendo,3.66,3.14,2.47,0.63,9.9,78.0,72.0,0.7177068214804064,78.26,71.83,50.269235607160134
64,Halo: Reach,X360,2010,Shooter,Microsoft Game Studios,7.04,1.95,0.08,0.79,9.86,91.0,79.0,0.45183486238532117,91.55,86.05,59.3506116207951
65,Final Fantasy VII,PS,1997,Role-Playing,Sony Computer Entertainment,3.01,2.47,3.28,0.96,9.72,92.0,92.0,0.8869485294117648,86.67,87.5,58.352316176470595
66,Halo 4,X360,2012,Shooter,Microsoft Game Studios,6.65,2.28,0.04,0.74,9.71,87.0,70.0,0.7039187227866475,91.3,69.01,53.671306240928885
67,Gran Turismo 2,PS,1999,Racing,Sony Computer Entertainment,3.88,3.42,1.69,0.5,9.49,93.0,90.0,1.0,90.91,87.1,59.669999999999995
68,Just Dance 2,Wii,2010,Misc,Ubisoft,5.8,2.85,0.01,0.78,9.44,74.0,73.0,0.4325688073394496,67.61,79.07,49.03752293577981
69,Call of Duty: Ghosts,PS3,2013,Shooter,Activision,4.1,3.63,0.38,1.25,9.36,71.0,26.0,0.44460294816928203,69.05,19.51,29.668200982723093
70,Call of Duty 4: Modern Warfare,X360,2007,Shooter,Activision,5.93,2.36,0.13,0.9,9.31,94.0,84.0,0.4098721903922434,96.15,89.66,62.07329073013076
73,Animal Crossing: New Leaf,3DS,2012,Simulation,Nintendo,2.03,2.36,4.39,0.39,9.16,88.0,87.0,0.6640058055152396,92.75,92.96,62.124668601838415
74,Mario Party DS,DS,2007,Misc,Nintendo,4.4,1.85,1.98,0.68,8.91,72.0,78.0,0.3922432789775232,67.95,82.76,50.367414426325844
75,The Elder Scrolls V: Skyrim,X360,2011,Role-Playing,Bethesda Softworks,5.05,2.79,0.1,0.85,8.79,96.0,84.0,0.5964673913043478,100.0,94.74,65.11215579710144
77,FIFA 16,PS4,2015,Sports,Electronic Arts,1.12,6.12,0.06,1.28,8.57,82.0,43.0,1.0,81.82,35.9,39.57333333333333
78,Halo 2,XB,2004,Shooter,Microsoft Game Studios,6.82,1.53,0.05,0.08,8.49,95.0,82.0,0.40769230769230774,98.53,82.67,60.53589743589743
79,Wii Party,Wii,2010,Misc,Nintendo,1.75,3.47,2.49,0.67,8.38,68.0,74.0,0.3839449541284405,59.15,80.23,46.58798165137615
80,Mario Party 8,Wii,2007,Misc,Nintendo,3.74,2.24,1.58,0.7,8.27,62.0,63.0,0.3640370207139709,55.13,65.52,40.33801234023799
81,FIFA Soccer 13,PS3,2012,Action,Electronic Arts,1.06,5.01,0.13,1.97,8.16,88.0,66.0,0.5914368650217707,92.75,63.38,52.24047895500726
84,Final Fantasy X,PS2,2001,Role-Playing,Sony Computer Entertainment,2.91,2.07,2.73,0.33,8.05,92.0,87.0,0.5370741482965933,92.96,90.0,61.16569138276552
85,The Sims 3,PC,2009,Simulation,Electronic Arts,0.99,6.42,0.0,0.6,8.01,86.0,76.0,0.24420024420024417,87.34,79.76,55.78140008140008
88,Final Fantasy VIII,PS,1999,Role-Playing,SquareSoft,2.28,1.72,3.63,0.23,7.86,90.0,86.0,0.8278775079197466,85.45,74.19,53.48929250263992
90,Pokémon Platinum Version,DS,2008,Role-Playing,Nintendo,2.76,1.72,2.69,0.54,7.72,83.0,85.0,0.2171219374823993,80.0,91.46,57.22570731249414
91,Grand Theft Auto: Liberty City Stories,PSP,2005,Action,Take-Two Interactive,2.9,2.81,0.24,1.73,7.69,88.0,76.0,0.33103448275862074,88.24,79.78,56.11701149425287
92,Call of Duty: Advanced Warfare,PS4,2014,Shooter,Activision,2.81,3.48,0.14,1.23,7.66,83.0,57.0,0.6071428571428572,80.28,55.84,45.57571428571429
94,FIFA 17,PS4,2016,Sports,Electronic Arts,0.66,5.75,0.08,1.11,7.59,85.0,50.0,1.0,87.1,44.12,44.07333333333333
97,Super Mario Galaxy 2,Wii,2010,Platform,Nintendo,3.56,2.35,0.98,0.62,7.51,97.0,91.0,0.34403669724770647,100.0,100.0,66.78134556574923
100,Call of Duty: World at War,X360,2008,Shooter,Activision,4.81,1.88,0.0,0.69,7.38,84.0,76.0,0.20754716981132074,81.33,80.49,54.00918238993711
101,Battlefield 3,X360,2011,Shooter,Electronic Arts,4.46,2.11,0.06,0.69,7.32,84.0,74.0,0.49660326086956524,84.0,81.58,55.35886775362318
102,Need for Speed Underground,PS2,2003,Racing,Electronic Arts,3.27,2.83,0.08,1.02,7.2,85.0,86.0,1.0,87.32,87.65,58.656666666666666
103,Just Dance,Wii,2009,Misc,Ubisoft,3.48,2.99,0.0,0.73,7.2,49.0,80.0,0.21947496947496944,40.51,84.52,41.74982498982499
104,Battlefield 3,PS3,2011,Shooter,Electronic Arts,2.85,2.89,0.35,1.08,7.17,85.0,75.0,0.48641304347826086,85.33,82.89,56.23547101449276
105,Fallout 4,PS4,2015,Role-Playing,Bethesda Softworks,2.53,3.27,0.24,1.13,7.16,87.0,65.0,0.8352803738317757,88.31,64.1,51.08176012461059
106,Tekken 3,PS,1998,Fighting,Sony Computer Entertainment,3.27,2.22,1.4,0.29,7.16,96.0,91.0,1.0,100.0,91.89,64.29666666666667
107,The Legend of Zelda: Twilight Princess,Wii,2006,Action,Nintendo,3.74,2.14,0.6,0.68,7.15,95.0,90.0,0.08652447891420263,98.59,96.2,64.9588414929714
109,Crash Bandicoot 3: Warped,PS,1998,Platform,Sony Computer Entertainment,3.68,1.75,1.42,0.28,7.13,91.0,89.0,0.9957983193277311,89.36,86.49,58.94859943977591
110,Mario Kart 8,WiiU,2014,Racing,Nintendo,3.15,2.15,1.28,0.51,7.09,88.0,91.0,0.5619047619047619,87.32,100.0,62.62730158730159
111,Super Smash Bros. Melee,GC,2001,Fighting,Nintendo,4.41,1.04,1.39,0.22,7.07,92.0,91.0,0.47160988643954577,92.96,95.71,63.04720329547985
113,Need for Speed Underground 2,PS2,2004,Racing,Electronic Arts,2.71,3.02,0.08,1.09,6.9,82.0,86.0,0.3312500000000001,79.41,88.0,55.91374999999999
114,Medal of Honor: Frontline,PS2,2002,Shooter,Electronic Arts,2.93,2.75,0.17,0.99,6.83,88.0,85.0,0.422552664188352,88.46,87.18,58.68751755472945
116,Just Dance 4,Wii,2012,Misc,Ubisoft,4.05,2.16,0.0,0.55,6.76,74.0,73.0,0.4898403483309144,72.46,73.24,48.72994678277697
117,Gears of War 2,X360,2008,Shooter,Microsoft Game Studios,4.15,1.9,0.06,0.64,6.75,93.0,77.0,0.18980568853843985,93.33,81.71,58.409935229512804
118,Uncharted 3: Drake's Deception,PS3,2011,Action,Sony Computer Entertainment,2.77,2.75,0.19,1.03,6.74,92.0,83.0,0.45720108695652173,94.67,93.42,62.84906702898551
120,Call of Duty 4: Modern Warfare,PS3,2007,Shooter,Activision,3.11,2.26,0.28,1.03,6.68,94.0,84.0,0.2939620978404584,96.15,89.66,62.03465403261348
121,Uncharted 2: Among Thieves,PS3,2009,Action,Sony Computer Entertainment,3.27,2.2,0.21,0.98,6.66,96.0,88.0,0.20299145299145296,100.0,94.05,64.75099715099715
123,Big Brain Academy,DS,2005,Misc,Nintendo,1.66,2.75,1.6,0.62,6.62,74.0,74.0,0.2849137931034483,67.65,77.53,48.48830459770115
125,Red Dead Redemption,PS3,2010,Action,Take-Two Interactive,2.79,2.53,0.17,0.99,6.49,95.0,88.0,0.2972477064220184,97.18,96.51,64.66241590214067
126,FIFA 14,PS3,2013,Sports,Electronic Arts,0.78,4.24,0.07,1.37,6.47,86.0,43.0,0.3071802187351403,86.9,40.24,42.48239340624505
127,Assassin's Creed III,PS3,2012,Action,Ubisoft,2.64,2.52,0.16,1.12,6.45,85.0,69.0,0.4673439767779391,88.41,67.61,52.16244799225931
128,Donkey Kong Country Returns,Wii,2010,Platform,Nintendo,3.17,1.79,1.03,0.46,6.44,87.0,86.0,0.29495412844036706,85.92,94.19,60.134984709480115
129,Halo: Combat Evolved,XB,2001,Shooter,Microsoft Game Studios,4.98,1.3,0.08,0.07,6.43,97.0,86.0,0.4288577154308617,100.0,88.57,62.99961923847695
130,The Elder Scrolls V: Skyrim,PS3,2011,Role-Playing,Bethesda Softworks,2.55,2.6,0.25,1.0,6.41,92.0,64.0,0.43478260869565216,94.67,68.42,54.50826086956522
131,Pokémon Emerald Version,GBA,2004,Role-Playing,Nintendo,2.57,1.58,2.06,0.21,6.41,76.0,90.0,0.30769230769230776,70.59,93.33,54.7425641025641
132,Kingdom Hearts,PS2,2002,Role-Playing,Sony Computer Entertainment,3.64,1.2,1.49,0.07,6.4,85.0,88.0,0.3959107806691451,84.62,91.03,58.681970260223046
134,Halo 3: ODST,X360,2009,Shooter,Microsoft Game Studios,4.34,1.34,0.06,0.61,6.34,83.0,71.0,0.1932234432234432,83.54,73.81,52.51440781440781
135,Red Dead Redemption,X360,2010,Action,Take-Two Interactive,3.7,1.95,0.09,0.58,6.32,95.0,90.0,0.28944954128440376,97.18,98.84,65.43648318042814
136,Super Mario Sunshine,GC,2002,Platform,Nintendo,4.01,1.26,0.87,0.17,6.31,92.0,86.0,0.39033457249070636,93.59,88.46,60.813444857496904
138,World of Warcraft,PC,2004,Role-Playing,Activision,0.08,6.21,0.0,0.0,6.29,93.0,73.0,0.30192307692307696,95.59,70.67,55.52064102564103
139,Driver,PS,1999,Action,GT Interactive,3.11,2.8,0.02,0.33,6.27,87.0,81.0,0.6599788806758183,80.0,58.06,46.23999296022527
140,Gears of War 3,X360,2011,Shooter,Microsoft Game Studios,4.05,1.59,0.07,0.5,6.21,91.0,78.0,0.421195652173913,93.33,86.84,60.1970652173913
141,Kinect Sports,X360,2010,Sports,Microsoft Game Studios,3.92,1.73,0.03,0.51,6.19,73.0,74.0,0.28348623853211014,66.2,80.23,48.904495412844035
142,Gears of War,X360,2006,Shooter,Microsoft Game Studios,3.54,1.88,0.07,0.6,6.09,94.0,83.0,0.07367910809500727,97.18,87.34,61.53122636936501
143,FIFA 15,PS4,2014,Sports,Electronic Arts,0.8,4.33,0.05,0.9,6.08,82.0,57.0,0.48174603174603176,78.87,55.84,45.06391534391535
144,Metal Gear Solid 2: Sons of Liberty,PS2,2001,Action,Konami Digital Entertainment,2.45,2.01,0.87,0.72,6.05,96.0,87.0,0.4034736138944556,98.59,90.0,62.997824537964824
146,Metal Gear Solid,PS,1998,Action,Konami Digital Entertainment,3.18,1.83,0.78,0.24,6.03,94.0,94.0,0.8417366946778712,95.74,100.0,65.52724556489262
147,Metal Gear Solid 4: Guns of the Patriots,PS3,2008,Action,Konami Digital Entertainment,2.63,1.71,0.83,0.82,5.99,94.0,87.0,0.1684032666854407,94.67,93.9,62.91280108889515
148,Final Fantasy XII,PS2,2006,Role-Playing,Square Enix,1.88,0.0,2.33,1.74,5.95,92.0,76.0,0.07198254968492487,94.37,78.48,57.64066084989497
149,The Last of Us,PS3,2013,Action,Sony Computer Entertainment Europe,2.41,2.18,0.28,0.99,5.87,95.0,91.0,0.27864954826438426,97.62,98.78,65.55954984942146
150,LittleBigPlanet,PS3,2008,Platform,Sony Computer Entertainment,2.8,1.98,0.17,0.87,5.82,95.0,68.0,0.16361588284990142,96.0,70.73,55.6312052942833
151,Resident Evil 2,PS,1998,Action,Virgin Interactive,1.88,1.47,2.02,0.45,5.82,89.0,92.0,0.8123249299719888,85.11,94.59,60.170774976657334
152,Dragon Quest IX: Sentinels of the Starry Skies,DS,2009,Role-Playing,Nintendo,0.63,0.67,4.35,0.15,5.78,87.0,88.0,0.17612942612942611,88.61,94.05,60.94537647537647
153,Tekken 2,PS,1996,Fighting,Sony Computer Entertainment,2.26,1.89,1.36,0.23,5.74,89.0,89.0,1.0,54.55,93.75,49.76666666666667
154,Destiny,PS4,2014,Shooter,Activision,2.49,2.07,0.16,0.92,5.64,76.0,61.0,0.44682539682539685,70.42,61.04,43.968941798941806
155,LEGO Star Wars: The Complete Saga,Wii,2007,Action,LucasArts,3.57,1.55,0.0,0.51,5.64,80.0,89.0,0.248126928162186,78.21,95.4,57.952708976054055
156,Cooking Mama,DS,2006,Simulation,505 Games,3.07,1.91,0.07,0.57,5.63,67.0,72.0,0.0681047018904508,59.15,73.42,44.21270156729682
159,Assassin's Creed II,PS3,2009,Action,Ubisoft,2.54,1.93,0.21,0.86,5.55,91.0,86.0,0.1691086691086691,93.67,91.67,61.83636955636956
160,Assassin's Creed,X360,2007,Adventure,Ubisoft,3.28,1.64,0.07,0.56,5.54,81.0,77.0,0.24371970030850598,79.49,81.61,53.78123990010283
161,Forza Motorsport 3,X360,2009,Racing,Microsoft Game Studios,2.99,1.9,0.1,0.5,5.49,92.0,80.0,0.16727716727716727,94.94,84.52,59.875759055759055
162,Super Mario Advance,GBA,2001,Platform,Nintendo,3.14,1.24,0.91,0.2,5.49,84.0,78.0,0.36606546426185704,81.69,77.14,53.065355154753945
163,Monster Hunter Freedom Unite,PSP,2008,Role-Playing,Capcom,0.47,0.55,4.13,0.34,5.48,81.0,87.0,0.15404111517882285,77.33,93.9,57.12801370505961
164,Batman: Arkham City,PS3,2011,Action,Warner Bros. Interactive Entertainment,2.71,1.85,0.11,0.81,5.48,96.0,86.0,0.37160326086956524,100.0,97.37,65.9138677536232
165,Grand Theft Auto V,XOne,2014,Action,Take-Two Interactive,2.81,2.19,0.0,0.47,5.48,97.0,79.0,0.4341269841269842,100.0,84.42,61.61804232804233
166,Mario Kart: Super Circuit,GBA,2001,Racing,Nintendo,2.62,1.64,0.99,0.23,5.47,93.0,83.0,0.36472945891783565,94.37,84.29,59.67490981963928
169,Crash Bandicoot: The Wrath of Cortex,PS2,2001,Platform,Universal Interactive,2.07,2.29,0.24,0.82,5.42,66.0,71.0,0.36138944555778224,56.34,67.14,41.28046314851926
170,Call of Duty: World at War,PS3,2008,Shooter,Activision,2.73,1.83,0.0,0.83,5.39,85.0,76.0,0.15150661785412559,82.67,80.49,54.43716887261804
171,Uncharted 4: A Thief's End,PS4,2016,Shooter,Sony Computer Entertainment,1.85,2.5,0.19,0.85,5.38,93.0,79.0,0.7084432717678101,100.0,86.76,62.489481090589265
173,Final Fantasy XIII,PS3,2009,Role-Playing,Square Enix,1.74,1.21,1.87,0.51,5.33,83.0,73.0,0.16239316239316237,83.54,76.19,53.29746438746438
175,Final Fantasy IX,PS,2000,Role-Playing,SquareSoft,1.62,0.77,2.78,0.14,5.3,94.0,89.0,1.0,94.44,93.9,63.11333333333334
176,Assassin's Creed III,X360,2012,Action,Ubisoft,3.13,1.69,0.03,0.44,5.29,84.0,67.0,0.3831640058055153,86.96,64.79,50.71105466860183
177,Final Fantasy X-2,PS2,2003,Role-Playing,Electronic Arts,1.92,1.08,2.11,0.17,5.29,85.0,66.0,0.7343532684283728,87.32,62.96,50.33811775614279
179,Call of Duty: Advanced Warfare,XOne,2014,Shooter,Activision,3.22,1.55,0.01,0.48,5.27,81.0,54.0,0.4174603174603175,77.46,51.95,43.275820105820095
181,Assassin's Creed II,X360,2009,Action,Ubisoft,3.11,1.55,0.08,0.51,5.26,90.0,88.0,0.16025641025641024,92.41,94.05,62.20675213675213
185,New Super Mario Bros. U,WiiU,2012,Platform,Nintendo,2.3,1.34,1.27,0.32,5.22,84.0,81.0,0.37808417997097243,86.96,84.51,57.282694726656985
186,Dragon Quest VIII: Journey of the Cursed King,PS2,2004,Role-Playing,Square Enix,0.65,0.75,3.61,0.2,5.21,89.0,88.0,0.25000000000000006,89.71,90.67,60.21
188,Professor Layton and the Curious Village,DS,2007,Puzzle,Nintendo,1.21,2.43,1.03,0.52,5.19,85.0,86.0,0.22829440282062588,84.62,91.95,58.93276480094021
190,FIFA Soccer 13,X360,2012,Action,Electronic Arts,1.09,3.47,0.03,0.57,5.16,90.0,61.0,0.37373004354136435,95.65,56.34,50.787910014513784
192,Diablo III,PC,2012,Role-Playing,Activision,2.44,2.16,0.0,0.54,5.14,88.0,40.0,0.37227866473149496,92.75,26.76,39.9607595549105
193,Medal of Honor: Rising Sun,PS2,2003,Shooter,Electronic Arts,1.98,2.23,0.13,0.8,5.13,68.0,76.0,0.7121001390820584,63.38,75.31,46.46736671302735
196,Guitar Hero II,PS2,2006,Misc,RedOctane,3.81,0.63,0.0,0.68,5.12,92.0,85.0,0.061924381968007765,94.37,89.87,61.43397479398934
197,Fable III,X360,2010,Role-Playing,Microsoft Game Studios,3.59,1.08,0.05,0.38,5.1,80.0,65.0,0.23348623853211012,76.06,69.77,48.68782874617737
199,Resident Evil 5,PS3,2009,Action,Capcom,1.96,1.41,1.08,0.64,5.09,84.0,75.0,0.15506715506715504,84.81,78.57,54.51168905168905
200,The Legend of Zelda: Phantom Hourglass,DS,2007,Action,Nintendo,1.85,1.8,0.95,0.48,5.08,90.0,80.0,0.22344645218157783,91.03,85.06,58.77114881739386
202,FIFA Soccer 11,PS3,2010,Sports,Electronic Arts,0.61,3.28,0.06,1.12,5.07,89.0,80.0,0.2321100917431193,88.73,87.21,58.724036697247705
203,Resident Evil,PS,1996,Action,Virgin Interactive,2.05,1.16,1.11,0.73,5.05,91.0,90.0,0.8767857142857143,72.73,100.0,57.86892857142857
204,Grand Theft Auto: Vice City Stories,PSP,2006,Action,Take-Two Interactive,1.7,1.99,0.16,1.18,5.03,86.0,80.0,0.060833737275811935,85.92,83.54,56.50694457909194
205,Tony Hawk's Pro Skater,PS,1999,Sports,Activision,3.42,1.38,0.02,0.2,5.02,92.0,92.0,0.5279831045406547,89.09,93.55,61.05599436818022
208,Guitar Hero III: Legends of Rock,PS2,2007,Misc,Activision,3.49,0.01,0.01,1.48,4.98,82.0,82.0,0.2190392243278978,80.77,87.36,56.1163464081093
209,Link's Crossbow Training,Wii,2007,Shooter,Nintendo,3.05,1.17,0.29,0.46,4.98,68.0,71.0,0.2190392243278978,62.82,74.71,45.9163464081093
211,Fallout 3,X360,2008,Role-Playing,Bethesda Softworks,3.4,0.99,0.09,0.45,4.93,93.0,85.0,0.13855252041678398,93.33,91.46,61.64285084013892
212,Uncharted: Drake's Fortune,PS3,2007,Action,Sony Computer Entertainment,2.31,1.72,0.12,0.77,4.92,88.0,81.0,0.21639488761568976,88.46,86.21,58.29546496253855
213,Madden NFL 06,PS2,2005,Sports,Electronic Arts,3.98,0.26,0.01,0.66,4.91,88.0,80.0,0.21120689655172417,88.24,84.27,57.57373563218391
218,StarCraft II: Wings of Liberty,PC,2010,Strategy,Activision,2.57,1.68,0.0,0.58,4.84,93.0,82.0,0.22155963302752296,94.37,89.53,61.37385321100917
219,Assassin's Creed,PS3,2007,Adventure,Ubisoft,1.91,2.0,0.09,0.82,4.82,81.0,73.0,0.21198765976200973,79.49,77.01,52.237329219920674
220,God of War III,PS3,2010,Action,Sony Computer Entertainment,2.74,1.33,0.12,0.61,4.8,92.0,87.0,0.21972477064220186,92.96,95.35,62.84324159021406
221,Crash Team Racing,PS,1999,Racing,Sony Computer Entertainment,2.57,1.57,0.44,0.21,4.79,88.0,90.0,0.5036958817317846,81.82,87.1,56.47456529391059
222,LEGO Star Wars: The Complete Saga,DS,2007,Action,LucasArts,2.83,1.48,0.0,0.45,4.76,80.0,54.0,0.2093433230498017,78.21,55.17,44.52978110768327
223,Driver 2,PS,2000,Action,Atari,2.36,2.1,0.02,0.25,4.73,62.0,77.0,0.892249527410208,50.0,79.27,43.387416509136735
224,Batman: Arkham City,X360,2011,Action,Warner Bros. Interactive Entertainment,2.99,1.27,0.04,0.42,4.73,94.0,87.0,0.3206521739130435,97.33,98.68,65.44355072463769
227,Tony Hawk's Pro Skater 2,PS,2000,Sports,Activision,3.05,1.41,0.02,0.2,4.68,98.0,77.0,0.8827977315689981,100.0,79.27,60.05093257718966
228,The Lord of the Rings: The Two Towers,PS2,2002,Action,Electronic Arts,1.94,1.95,0.08,0.7,4.67,82.0,82.0,0.2887236679058241,80.77,83.33,54.796241222635274
229,Tomb Raider,PS,1996,Action,Eidos Interactive,2.29,1.97,0.13,0.24,4.63,91.0,86.0,0.8017857142857142,72.73,75.0,49.51059523809524
230,Animal Crossing: City Folk,Wii,2008,Simulation,Nintendo,1.82,1.12,1.32,0.36,4.62,73.0,76.0,0.1298225851872712,66.67,80.49,49.09660752839576
231,Uncharted: The Nathan Drake Collection,PS4,2015,Action,Sony Computer Entertainment,2.07,1.71,0.08,0.76,4.62,86.0,81.0,0.5385514018691588,87.01,84.62,57.38951713395639
233,The Legend of Zelda: The Wind Waker,GC,2002,Action,Nintendo,2.6,0.99,0.89,0.13,4.6,96.0,89.0,0.2843866171003718,98.72,92.31,63.77146220570012
234,Guitar Hero III: Legends of Rock,Wii,2007,Misc,Activision,3.04,1.11,0.0,0.43,4.6,86.0,84.0,0.20229175848391362,85.9,89.66,58.587430586161304
